,Unnamed: 0,label,aspect_ratio,max_intensity,min_intensity,perimeter_skimage,area,mean_intensity,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,median,sum,variance,perimeter_on_border,perimeter_on_border_ratio,filename,annotated_class,predicted_class
101,101,29,2.890054330600967,2.7540983606557377,0.4426229508196721,111.39696961967,628,1.3958964185026626,48.44872368269562,16.76394909594002,0.6359496818137451,0.9429429429429428,0.9382292547165147,0.3406474020353238,1.4288230538368225,876.622950819672,0.1740566944439691,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
104,104,32,3.19627253404159,2.1311475409836067,0.4262295081967213,98.08326112068522,440,1.1544709388971683,43.75300013854216,13.688757661480706,0.5747417505298238,0.8678500986193294,0.9497977918504203,0.2926490504495143,1.151223123073578,507.967213114754,0.1064581267357605,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
106,106,34,2.3018430887078707,1.950819672131148,0.4262295081967213,65.698484809835,225,1.05551912568306,26.46311705775744,11.496490437413955,0.6550608959416084,0.8620689655172413,0.9007034387531855,0.4090822547526242,1.0532466769218445,237.4918032786886,0.0806803086727841,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
110,110,3,1.3814389141983896,2.9545454545454546,0.3181818181818182,149.5391052434009,1126,1.2659252381721298,45.121397538232365,32.66260786088761,0.6327595361865072,0.9008,0.6899228615032554,0.7041795751120926,1.2111594080924988,1425.4318181818194,0.2253416618143247,0.0,0.0,img08_20220513_ET358_56hpf_4.tif,0.0,2
112,112,5,1.419901996633646,2.522727272727273,0.3636363636363636,184.50966799187808,2200,1.338595041322314,63.29534098108231,44.5772603539858,0.8120715394099425,0.9561060408518036,0.709928300063578,0.6991805071100404,1.346990406513214,2944.9090909090883,0.1308716567089289,0.0,0.0,img08_20220513_ET358_56hpf_4.tif,2.0,2
119,119,2,2.035536012925488,2.7096774193548385,0.3870967741935484,60.2842712474619,206,1.1428124021296586,23.52319083864185,11.556263652065848,0.7123100204755467,0.9155555555555556,0.8710067244889111,0.4740071308494865,1.0683908462524414,235.41935483870972,0.1702642459175657,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,0.0,2
125,125,8,1.2670529077345891,2.5161290322580645,0.3548387096774194,31.556349186104043,81,1.2887295898048587,11.453355531229352,9.039366439486122,1.0221658721171678,0.9418604651162792,0.6140938293621913,0.7861938698745949,1.2451171875,104.38709677419357,0.2674662131781457,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,0.0,2
128,128,11,1.097233221531115,4.112903225806452,0.3225806451612903,155.82337649086284,1657,2.487472501800767,48.67769503587746,44.36403681612104,0.8575652039078596,0.9729888432178508,0.4115586683280889,0.8903743001585837,2.707125663757324,4121.741935483869,0.8212848464525743,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
129,129,12,1.0839063921574743,2.161290322580645,0.3387096774193548,199.23759005323595,2185,1.0404665239536428,55.9223398460278,51.59332969216697,0.6917015445717412,0.9333618111917984,0.3857845666754197,0.8895920458598895,1.0362588167190552,2273.419354838711,0.0700570981621781,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
136,136,5,2.0715205627982107,3.1923076923076925,0.2307692307692307,49.698484809834994,163,1.4285040113260974,20.82325326760932,10.052158613130668,0.8292990574783702,0.9421965317919077,0.8757652725592552,0.4786307098401423,1.398362398147583,232.8461538461538,0.3250762893676227,0.0,0.0,img12_20220513_ET358_56hpf_8.tif,0.0,2
137,137,6,1.1285792393561804,3.8846153846153846,0.1153846153846153,181.16652224137047,1400,1.5954395604395606,45.3598036435184,40.191952910098514,0.5360212469732336,0.9216589861751152,0.4635518089028941,0.8663548730349786,1.6282302141189575,2233.6153846153843,0.3539188147312092,0.0,0.0,img12_20220513_ET358_56hpf_8.tif,2.0,2
138,138,7,2.810733089893131,8.23076923076923,0.1538461538461538,239.4386001800126,2876,4.158486680218251,102.67020605511854,36.52791025384137,0.6303915978596965,0.9602671118530884,0.9345700907636644,0.347384257140039,4.654822826385498,11959.807692307688,3.5557721292364497,0.0,0.0,img12_20220513_ET358_56hpf_8.tif,2.0,2
143,143,1,1.193840194725632,4.833333333333333,0.0,26.48528137423857,55,1.3727272727272728,9.32685579380254,7.812482637968172,0.9852884032416418,0.9166666666666666,0.5462333553418754,0.805011869914872,1.3447265625,75.5,0.8332959221848105,8.0,0.287861544422366,img13_20220513_ET358_56hpf_9.tif,0.0,2
146,146,4,1.1817348762797026,2.833333333333333,0.0,25.72792206135786,51,1.1666666666666667,8.865860749364957,7.502411012253575,0.9682123483556624,0.9107142857142856,0.5328439927616282,0.8261111485334359,1.1455078125,59.50000000000001,0.4977777777777769,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
150,150,8,1.741966773132334,3.1666666666666665,0.1666666666666666,30.72792206135785,68,1.1348039215686274,12.412093895433795,7.125333322583916,0.9050079442661734,0.9066666666666666,0.8188105986985401,0.5619904385712868,1.0458984375,77.16666666666666,0.3791520339479073,0.0,0.0,img13_20220513_ET358_56hpf_9.tif,0.0,2
